t,u0,u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12,u13,u14,u15,u16,u17,u18,u19,u20,u21,u22,u23,u24,u25,u26,u27,u28,u29,u30,u31,u32,u33,u34,u35,u36,u37,u38,u39,u40,u41,u42,u43,u44,u45,u46,u47,u48,u49,u50
0 ,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078
0.00108814 ,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0396078,-0.000392157,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078
0.00218463 ,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,-0.000392157,0.0396078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0396078,-0.000392157,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078
0.00336806 ,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,-0.000392157,0.0396078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0396078,-0.000392157,0.0196078,0.0196078,0.0196078,-0.000392157,0.0396078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078
0.00445858 ,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,-0.000392157,0.0396078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0396078,-0.000392157,0.0196078,0.0196078,0.0196078,-0.000392157,0.0396078,0.0196078,0.0196078,0.0196078,-0.000392157,0.0396078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078
0.00567809 ,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,-0.000392157,0.0396078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,-0.000392157,0.0396078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0396078,-0.000392157,0.0196078,0.0196078,0.0196078,-0.000392157,0.0396078,0.0196078,0.0196078,0.0196078,-0.000392157,0.0396078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078
0.00680295 ,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,-0.000392157,0.0396078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,-0.000392157,0.0396078,0.0196078,-0.000392157,0.0396078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0396078,-0.000392157,0.0196078,0.0196078,0.0196078,-0.000392157,0.0396078,0.0196078,0.0196078,0.0196078,-0.000392157,0.0396078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078
0.00789109 ,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,-0.000392157,0.0396078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0396078,-0.000392157,-0.000392157,0.0396078,0.0196078,-0.000392157,0.0396078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0396078,-0.000392157,0.0196078,0.0196078,0.0196078,-0.000392157,0.0396078,0.0196078,0.0196078,0.0196078,-0.000392157,0.0396078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078
0.00896751 ,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,-0.000392157,0.0396078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0396078,-0.000392157,-0.000392157,0.0396078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0396078,-0.000392157,0.0196078,0.0196078,0.0196078,-0.000392157,0.0396078,0.0196078,0.0196078,0.0196078,-0.000392157,0.0396078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078
0.0101104 ,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,-0.000392157,0.0396078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0396078,-0.000392157,-0.000392157,0.0396078,0.0196078,0.0196078,-0.000392157,0.0396078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0396078,-0.000392157,0.0196078,0.0196078,0.0196078,-0.000392157,0.0396078,0.0196078,0.0196078,0.0196078,-0.000392157,0.0396078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078
0.0113065 ,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,-0.000392157,0.0396078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0396078,0.0196078,-0.000392157,-0.000392157,0.0396078,0.0196078,0.0196078,-0.000392157,0.0396078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0396078,-0.000392157,0.0196078,0.0196078,0.0196078,-0.000392157,0.0396078,0.0196078,0.0196078,0.0196078,-0.000392157,0.0396078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078
0.0124707 ,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,-0.000392157,0.0396078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0396078,0.0196078,-0.000392157,-0.000392157,0.0396078,0.0196078,0.0196078,-0.000392157,0.0396078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0396078,-0.000392157,0.0196078,0.0196078,0.0196078,-0.000392157,0.0196078,0.0396078,0.0196078,0.0196078,-0.000392157,0.0396078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078
0.0135323 ,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,-0.000392157,0.0396078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0396078,0.0196078,-0.000392157,-0.000392157,0.0396078,0.0196078,0.0196078,-0.000392157,0.0396078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0396078,-0.000392157,-0.000392157,0.0396078,0.0196078,-0.000392157,0.0196078,0.0396078,0.0196078,0.0196078,-0.000392157,0.0396078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078
0.0146584 ,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,-0.000392157,0.0396078,0.0196078,0.0196078,0.0196078,-0.000392157,0.0396078,0.0396078,0.0196078,-0.000392157,-0.000392157,0.0396078,0.0196078,0.0196078,-0.000392157,0.0396078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0396078,-0.000392157,-0.000392157,0.0396078,0.0196078,-0.000392157,0.0196078,0.0396078,0.0196078,0.0196078,-0.000392157,0.0396078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078
0.015828 ,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,-0.000392157,0.0396078,0.0196078,0.0196078,0.0196078,-0.000392157,0.0196078,0.0596078,0.0196078,-0.000392157,-0.000392157,0.0396078,0.0196078,0.0196078,-0.000392157,0.0396078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0396078,-0.000392157,-0.000392157,0.0396078,0.0196078,-0.000392157,0.0196078,0.0396078,0.0196078,0.0196078,-0.000392157,0.0396078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078
0.0169669 ,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,-0.000392157,0.0396078,0.0196078,0.0196078,0.0196078,-0.000392157,0.0196078,0.0596078,0.0196078,-0.000392157,-0.000392157,0.0396078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0396078,-0.000392157,-0.000392157,0.0396078,0.0196078,-0.000392157,0.0196078,0.0396078,0.0196078,0.0196078,-0.000392157,0.0396078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078
0.0180855 ,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,-0.000392157,0.0396078,0.0196078,0.0196078,0.0196078,-0.000392157,0.0196078,0.0596078,0.0196078,-0.000392157,-0.000392157,0.0396078,0.0196078,0.0196078,0.0196078,0.0396078,-0.000392157,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0396078,-0.000392157,-0.000392157,0.0396078,0.0196078,-0.000392157,0.0196078,0.0396078,0.0196078,0.0196078,-0.000392157,0.0396078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078
0.0191905 ,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,-0.000392157,0.0396078,0.0196078,0.0196078,0.0196078,-0.000392157,0.0196078,0.0596078,0.0196078,-0.000392157,-0.000392157,0.0396078,0.0196078,0.0196078,0.0396078,0.0196078,-0.000392157,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0396078,-0.000392157,-0.000392157,0.0396078,0.0196078,-0.000392157,0.0196078,0.0396078,0.0196078,0.0196078,-0.000392157,0.0396078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078
0.0203217 ,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,-0.000392157,0.0196078,0.0396078,0.0196078,0.0196078,0.0196078,-0.000392157,0.0196078,0.0596078,0.0196078,-0.000392157,-0.000392157,0.0396078,0.0196078,0.0196078,0.0396078,0.0196078,-0.000392157,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078,0.0396078,-0.000392157,-0.000392157,0.0396078,0.0196078,-0.000392157,0.0196078,0.0396078,0.0196078,0.0196078,-0.000392157,0.0396078,0.0196078,0.0196078,0.0196078,0.0196078,0.0196078
